"","AML.193","CMK","COLO.680N","GDM.1","HEL","HEP.3B","HEP.G2","HL.60","JHH.2","JHH.4","K052","KASUMI.1","KG.1","KMOE.2","KYSE.140","KYSE.150","KYSE.410","KYSE.450","KYSE.510","KYSE.520","KYSE.70","M.07e","ME.1","ML.2","MOLM.13","MONO.MAC.6","MV.4.11","NB4","NOMO.1","OCI.AML2","OCI.AML3","OCI.AML5","OCI.M1","OE19","OE33","P31.FUJ","PL.21","PLC.PRF.5","SIG.M5","SK.HEP.1","SKM.1","SNU.182","SNU.387","SNU.398","SNU.423","SNU.449","SNU.475","THP.1"
"SP9_HUMAN",0.934171,0.1414,4.350258,0.016467,0.739,0.042829,0.021395,0.034336,0.000424,0.000752,0.1110967,2.514,0.158946,0.905,0.106186,0.000442,0.000664,0.087994,0.00083,0.06601,0.424171,0.2962,0.775259,0.143104,0.2246,0.734321,0.383166,0.0525509,0.255158,0.102389,0.000214,0.0001996,0.286154,0.054503,0.051415,0.1764,0.0785563,0.1850899,0.7083,0.331082,1.010284,0.000596,2.830191,0.000472,0.071409,0.000302,0.089131,1.5200651
"S12A2_HUMAN",0.000699,0.000636,1.517713,0.695567,0.000789,0.029174,0.65527,0.000408,0.819473,0.614416,0.9561,0.4841824,0.337236,0.093332,3.1893,1.090442,1.160664,0.55326,1.03083,2.35062,4.815,6e-04,1.912,0.3781582,0.000453,0.0994154,0.0819728,3e-04,1.0565749,0.001167,0.8951776,0.9028,0.000462,1.17039,1.12023,0.798317,0.0002322,4.904,0.249012,0.778164,3.616,0.711384,1.120402,1.170228,6.075,1.190302,5.112,0.0740302
"SRP14_HUMAN",170.840684,444.760636,118.440774,249.9401672,317.450762,357.680274,257.9401112,363.51466,104.750326,133.280376,367.240333,304.2293648,588.223784,470.941264,228.680186,102.175442,120.520996,179.940388,157.160319,205.69,151.9214,308.8906,325.520528,197.9172373,134.7005634,361.837284,288.8740728,314.8403,400.4128,196.611167,192.7002664,363.8200909,313.517308,116.63039,100.11625,370.770317,140.2891412,237.1400899,255.279336,149.030414,317.530393,134.390596,160.310182,124.920342,148.9,165.750302,109.5661772,621.22
"ZFP91_HUMAN",12.649342,23.390636,16.040313,26.6092,21.650789,31.630229,14.9840556,47.800528,16.402346,19.370376,14.306111,32.8311824,53.412838,22.208632,20.446,15.771221,22.624332,17.242143,33.680415,24.985,17.749,28.234,13.621264,22.5920791,52.0942817,45.253963,24.2310728,21.5201,59.0608,14.033149,20.0300775,28.93,18.609462,25.157,22.559,21.533103,16.8132252,18.487,8.965336,78.311082,24.700262,28.950298,23.928402,19.3561,14.8350885,22.87,21.908862,36.1240651
"IRS2_HUMAN",28.003165,38.172908,32.06957,24.91567,47.005529,32.794685,7.757755,55.548188,13.38212,21.682872,44.323777,85.0010032,34.955496,52.82316,22.759606,14.19979,27.146178,10.88743,31.741141,26.05617,36.18135,35.23153,26.899035,33.3576328,63.9288451,91.870926,25.9183276,42.874217,42.3984494,19.104043,53.290428,60.2641204,29.76154,16.306955,28.220375,38.400951,100.6201689,24.9974495,41.586948,25.434246,83.779704,13.299682,16.290146,41.872124,8.347881,35.551604,11.973879,52.2851113
"RL4_HUMAN",757.985539,2031.750672,1160.613514,1886.468334,1748.936315,1216.113274,1252.744278,1370.641848,479.920815,1342.566624,1219.057053,1868.007093,3060.201352,1844.663592,1645.679579,904.477142,1231.896328,1037.91639,1721.891047,1613.75462,1027.897642,1510.7114,1097.21723,777.876136,1216.85169,1158.392778,1687.428328,2137.38513,1220.5554,1044.108778,1249.968444,1619.340299,2174.98537,1587.06757,1242.024125,783.611442,674.9516178,1315.89309,1735.38214,1657.595004,2069.983124,1403.129576,602.040728,1388.100228,991.405177,818.520357,763.767443,1238.161716
"MTMRE_HUMAN",5.420171,8.185135,1.816,5.26,9.380508,14.087,5.404,11.475136,3.706246,0.997848,11.4290967,2.8611824,5.484136,8.840316,3.028,1.380442,1.059664,2.092,0.794047,2.812,2.741171,5.0261,10.736518,5.503208,18.496151,16.2020577,3.813187,8.121,7.8004,5.032,8.758,6.403,9.510154,4.06,0.639725,5.543103,4.2050774,4.654,2.976428,0.536328,7.810262,1.407596,2.771182,0.838228,2.006,0.929119,2.4510886,38.4668371
"SAMD1_HUMAN",30.797233,25.661424,20.968771,10.106167,15.890789,0.199625,3.719675,30.43066,6.776692,18.98104,11.102,22.5701562,9.265272,10.560328,29.814386,16.061105,24.381205,27.780572,23.441396,24.88324,17.93705,20.9661,13.050528,37.8240791,88.7101878,15.250642,33.812,7.5323,26.3841498,27.650328,25.32,26.1190602,31.510308,21.618909,13.71325,54.280103,41.6661126,5.94676,23.466112,6.111506,33.110262,26.898576,4.791146,22.580456,30.550354,1.489595,1.704155,31.5850651
"CLPX_HUMAN",48.132699,84.894448,71.314774,69.630668,93.788315,88.082137,84.507,149.692792,51.537848,61.260832,86.0372901,131.1718905,132.2844572,121.506632,77.508292,49.762105,69.962205,48.247776,73.415957,89.87931,73.59655,78.519,85.439518,85.1359164,82.677939,99.423852,84.074498,107.578,90.3712,61.624298,62.701155,79.751,90.062,82.44657,45.707625,65.877721,63.0904236,79.689,82.964336,90.899414,118.804852,71.58649,54.098092,57.111208,52.091527,77.101057,62.4386202,70.6831855
"U119B_HUMAN",5.9,4.370424,97.886258,5.21,90.150254,8.53,5.31,90.204132,1.316212,2.270752,2.883111,29.8320781,3.633136,11.03,16.05,4.044221,7.32,5.631,3.641,7.682,4.966,3.604,6.23,8.584,55.6001878,46.000642,6.6890364,8.1100434,30.7152,3.352,5.95,7.041,36.5250795,4.85,1.189115,6.812,2.2050706,5.79,4.351,1.010502,17.720131,0.569384,0.724364,3.051,1.457209,0.673238,0.2021772,21.827
