pathway,m,proteins
Direct p53 effectors,139,DDIT4_HUMAN;ADRO_HUMAN;TR10A_HUMAN;CCNK_HUMAN;RNC_HUMAN;JMY_HUMAN;SPB5_HUMAN;E2F3_HUMAN;IBP3_HUMAN;GPX1_HUMAN;ATF3_HUMAN;M4K4_HUMAN;BNI3L_HUMAN;Z385A_HUMAN;TSC2_HUMAN;B2L14_HUMAN;FOXA1_HUMAN;BCL2_HUMAN;P63_HUMAN;R144B_HUMAN;P53_HUMAN;CASP1_HUMAN;MMP2_HUMAN;TIGAR_HUMAN;P73_HUMAN;TR10D_HUMAN;PERP_HUMAN;SP1_HUMAN;BBC3_HUMAN;AAKB1_HUMAN;TYRP1_HUMAN;CEBPZ_HUMAN;NFYB_HUMAN;E2F2_HUMAN;ASC_HUMAN;MLH1_HUMAN;PCNA_HUMAN;SMCA4_HUMAN;BAK_HUMAN;JUN_HUMAN;CARM1_HUMAN;CSPG2_HUMAN;DUS1_HUMAN;TAF9_HUMAN;RFWD2_HUMAN;RS27L_HUMAN;SESN1_HUMAN;FETA_HUMAN;HSP71_HUMAN;XPO2_HUMAN;IRF5_HUMAN;PRDM1_HUMAN;NFYA_HUMAN;CCNG1_HUMAN;MDM2_HUMAN;CD82_HUMAN;MET_HUMAN;PTEN_HUMAN;PPM1J_HUMAN;STEA3_HUMAN;TFDP1_HUMAN;CAV1_HUMAN;TAP1_HUMAN;PO4F1_HUMAN;CCNB1_HUMAN;X3CL1_HUMAN;TNR6_HUMAN;ARI3A_HUMAN;;HGF_HUMAN;PML_HUMAN;DDX5_HUMAN;BKRB2_HUMAN;QORX_HUMAN;HIC1_HUMAN;GA45A_HUMAN;TGFA_HUMAN;APC_HUMAN;DGCR8_HUMAN;NFYC_HUMAN;PAI1_HUMAN;ANM1_HUMAN;BTG2_HUMAN;SH21A_HUMAN;BAX_HUMAN;B2LA1_HUMAN;TRIA1_HUMAN;RB_HUMAN;VDR_HUMAN;RGCC_HUMAN;;AIFM2_HUMAN;TRRAP_HUMAN;TR10B_HUMAN;EP300_HUMAN;HD_HUMAN;NDRG1_HUMAN;MSH2_HUMAN;ASPP1_HUMAN;DDB2_HUMAN;CASPA_HUMAN;GDF15_HUMAN;PIDD_HUMAN;OSTP_HUMAN;LIF_HUMAN;TR10C_HUMAN;CASP6_HUMAN;EGFR_HUMAN;PLK3_HUMAN;T53I1_HUMAN;RIR2B_HUMAN;SCN3B_HUMAN;SNAI2_HUMAN;DKK1_HUMAN;CATD_HUMAN;EPHA2_HUMAN;COIA1_HUMAN;ZN363_HUMAN;PCBP4_HUMAN;1433S_HUMAN;B2CL2_HUMAN;E2F1_HUMAN;PO4F2_HUMAN;BCL6_HUMAN;BID_HUMAN;PMS2_HUMAN;S10A2_HUMAN;;DUS5_HUMAN;CDN1A_HUMAN;APAF_HUMAN;CBP_HUMAN;ASPP2_HUMAN;TAD2B_HUMAN;HDAC2_HUMAN;MCL1_HUMAN;EDN2_HUMAN;NLRC4_HUMAN;APR_HUMAN;
PDGFR-beta signaling pathway,130,1433F_HUMAN;MK03_HUMAN;DOCK4_HUMAN;LCK_HUMAN;STA5A_HUMAN;;MK01_HUMAN;IQGA1_HUMAN;MP2K4_HUMAN;MYC_HUMAN;;BLK_HUMAN;ARPC5_HUMAN;P55G_HUMAN;SIPA1_HUMAN;NHRF1_HUMAN;;HCK_HUMAN;NCKP1_HUMAN;US6NL_HUMAN;GRB2_HUMAN;CSK_HUMAN;ARPC2_HUMAN;PK3CG_HUMAN;E2AK2_HUMAN;KPCD_HUMAN;SRC_HUMAN;PHAG1_HUMAN;BAIP2_HUMAN;1433G_HUMAN;LYN_HUMAN;RAC1_HUMAN;DOK1_HUMAN;P85B_HUMAN;ELK1_HUMAN;KPCA_HUMAN;ARPC4_HUMAN;PK3CA_HUMAN;RAP1A_HUMAN;ARP2_HUMAN;PI3R5_HUMAN;RAP1B_HUMAN;RAB4A_HUMAN;1433Z_HUMAN;PLCG1_HUMAN;ABL1_HUMAN;LRP1_HUMAN;KS6A3_HUMAN;ACTA_HUMAN;ITB3_HUMAN;RASH_HUMAN;RAF1_HUMAN;SRF_HUMAN;MP2K7_HUMAN;P85A_HUMAN;SLAP1_HUMAN;BRK1_HUMAN;RHOA_HUMAN;2ABB_HUMAN;MP2K2_HUMAN;RASA1_HUMAN;1433B_HUMAN;ABI1_HUMAN;CYFP2_HUMAN;JUN_HUMAN;EPS8_HUMAN;RPGF1_HUMAN;NHRF2_HUMAN;PK3CD_HUMAN;STAT1_HUMAN;PTPRJ_HUMAN;ACTN4_HUMAN;MP2K1_HUMAN;RAB5A_HUMAN;STA5B_HUMAN;BRAF_HUMAN;JUND_HUMAN;BCAR1_HUMAN;GRB10_HUMAN;NCK2_HUMAN;PAK1_HUMAN;PGFRB_HUMAN;GAB1_HUMAN;KPCE_HUMAN;KSR1_HUMAN;CRK_HUMAN;SPHK1_HUMAN;YES_HUMAN;FYN_HUMAN;MK10_HUMAN;AFAD_HUMAN;MK08_HUMAN;PK3CB_HUMAN;S1PR1_HUMAN;PA24A_HUMAN;PTN1_HUMAN;PDGFB_HUMAN;PTN11_HUMAN;PTEN_HUMAN;RASN_HUMAN;VAV2_HUMAN;JAK2_HUMAN;FGR_HUMAN;ITAV_HUMAN;SRC8_HUMAN;STAT3_HUMAN;GDIR1_HUMAN;ARP3_HUMAN;SOS1_HUMAN;TAGL_HUMAN;ARC1B_HUMAN;1433S_HUMAN;2AAA_HUMAN;WASF2_HUMAN;DYN2_HUMAN;ARPC3_HUMAN;1433T_HUMAN;MYCD_HUMAN;CBL_HUMAN;;1433E_HUMAN;PIN1_HUMAN;FOS_HUMAN;MK09_HUMAN;WASL_HUMAN;PI3R6_HUMAN;NCK1_HUMAN;RHG35_HUMAN;ARAP1_HUMAN;PP2AA_HUMAN;
ErbB1 downstream signaling,107,DUS1_HUMAN;;PLD1_HUMAN;KPCD_HUMAN;2AAA_HUMAN;MK08_HUMAN;PK3CA_HUMAN;EPS8_HUMAN;EGFR_HUMAN;M3K2_HUMAN;ELK1_HUMAN;RASH_HUMAN;NCKP1_HUMAN;BAIP2_HUMAN;PEBP1_HUMAN;WASF2_HUMAN;GRB2_HUMAN;;1433T_HUMAN;RIN1_HUMAN;ATF2_HUMAN;STAT1_HUMAN;1433F_HUMAN;BRAF_HUMAN;KPCZ_HUMAN;PP2AA_HUMAN;RAB5A_HUMAN;RAF1_HUMAN;US6NL_HUMAN;EGF_HUMAN;RAC1_HUMAN;BAD_HUMAN;CREB1_HUMAN;P55G_HUMAN;CYFP2_HUMAN;KPCA_HUMAN;SH22A_HUMAN;2ABA_HUMAN;P85B_HUMAN;;SMAD1_HUMAN;MK03_HUMAN;MK09_HUMAN;ABI1_HUMAN;M3K1_HUMAN;RALA_HUMAN;MP2K2_HUMAN;ARC1B_HUMAN;ARP2_HUMAN;1433G_HUMAN;1433B_HUMAN;ARF4_HUMAN;SRC_HUMAN;IQGA1_HUMAN;SL9A1_HUMAN;BRK1_HUMAN;JUN_HUMAN;PLD2_HUMAN;PDPK1_HUMAN;DUS6_HUMAN;SOS1_HUMAN;AKT1_HUMAN;GAB1_HUMAN;RASN_HUMAN;VAV2_HUMAN;EGR1_HUMAN;MEF2C_HUMAN;GNDS_HUMAN;KS6A4_HUMAN;PAR3_HUMAN;MP2K5_HUMAN;MTOR_HUMAN;ARPC3_HUMAN;PPP5_HUMAN;1433E_HUMAN;ATF1_HUMAN;CALM_HUMAN;MK01_HUMAN;ARPC4_HUMAN;CDC42_HUMAN;CAN2_HUMAN;MK07_HUMAN;LST8_HUMAN;STAT3_HUMAN;KSR1_HUMAN;P85A_HUMAN;ARPC2_HUMAN;RICTR_HUMAN;1433S_HUMAN;TTP_HUMAN;DIAP3_HUMAN;KS6A5_HUMAN;ARP3_HUMAN;KS6A3_HUMAN;RS6_HUMAN;WASL_HUMAN;SRF_HUMAN;MP2K1_HUMAN;SIN1_HUMAN;FOS_HUMAN;MP2K4_HUMAN;CHIO_HUMAN;1433Z_HUMAN;PK3CD_HUMAN;PK3CB_HUMAN;ARPC5_HUMAN;MLRS_HUMAN;
CXCR4-mediated signaling events,104,MMP9_HUMAN;ITA8_HUMAN;HGS_HUMAN;PTN6_HUMAN;ITA7_HUMAN;ITA2_HUMAN;GNAZ_HUMAN;RGS1_HUMAN;RAC1_HUMAN;PTEN_HUMAN;2B11_HUMAN;RALB_HUMAN;ITAV_HUMAN;FAK1_HUMAN;LCK_HUMAN;LIMK1_HUMAN;PTPRC_HUMAN;PDPK1_HUMAN;RHOC_HUMAN;PLCB2_HUMAN;PLCB1_HUMAN;PTN11_HUMAN;RHOB_HUMAN;VAV_HUMAN;RAP1B_HUMAN;PHAG1_HUMAN;GBLP_HUMAN;STAT3_HUMAN;VPS4B_HUMAN;PLCB3_HUMAN;ITCH_HUMAN;GNAO_HUMAN;FGR_HUMAN;LYN_HUMAN;STAT2_HUMAN;COF1_HUMAN;ARRB2_HUMAN;ARRC_HUMAN;ITA5_HUMAN;PK3CB_HUMAN;ITA4_HUMAN;GNAI3_HUMAN;BAD_HUMAN;ARBK1_HUMAN;ITA11_HUMAN;GNA13_HUMAN;DRA_HUMAN;SSH1_HUMAN;PAK1_HUMAN;GNAI1_HUMAN;SHIP1_HUMAN;RHOA_HUMAN;ITA10_HUMAN;ITA6_HUMAN;SRC_HUMAN;;CD3E_HUMAN;GBG2_HUMAN;GNAO_HUMAN;PI3R6_HUMAN;GBB1_HUMAN;STA5B_HUMAN;SDF1_HUMAN;CRK_HUMAN;PI3R5_HUMAN;P85A_HUMAN;ITA9_HUMAN;P85B_HUMAN;GRK6_HUMAN;ITA1_HUMAN;FAK2_HUMAN;CSK_HUMAN;HCK_HUMAN;CD3Z_HUMAN;VPS4A_HUMAN;CD3D_HUMAN;GNAI2_HUMAN;BCAR1_HUMAN;CXCR4_HUMAN;BLK_HUMAN;PK3CG_HUMAN;MTOR_HUMAN;PK3CA_HUMAN;RICTR_HUMAN;FOXO1_HUMAN;CD4_HUMAN;PAXI_HUMAN;ITB1_HUMAN;UBQL1_HUMAN;STA5A_HUMAN;STAT1_HUMAN;P55G_HUMAN;YES_HUMAN;KPCZ_HUMAN;AKT1_HUMAN;LST8_HUMAN;SIN1_HUMAN;FYN_HUMAN;CD3G_HUMAN;PK3CD_HUMAN;ITA3_HUMAN;CDC42_HUMAN;DYN1_HUMAN;JAK2_HUMAN;
C-MYB transcription factor network,85,YETS4_HUMAN;SND1_HUMAN;ADA_HUMAN;GATA1_HUMAN;TAB1_HUMAN;CASP6_HUMAN;COPA_HUMAN;AT2B1_HUMAN;LECT2_HUMAN;;SPI1_HUMAN;RASH_HUMAN;UBC9_HUMAN;ELNE_HUMAN;BIRC3_HUMAN;MYB_HUMAN;RAG2_HUMAN;BCL2_HUMAN;LEF1_HUMAN;MPCP_HUMAN;MYOD1_HUMAN;;CAH1_HUMAN;SP1_HUMAN;GATA3_HUMAN;NCOR1_HUMAN;ETS1_HUMAN;TOM1_HUMAN;AA2BR_HUMAN;PTCRA_HUMAN;TFEC_HUMAN;CBP_HUMAN;CDK6_HUMAN;CD4_HUMAN;CCNB1_HUMAN;CEBPD_HUMAN;CDN1B_HUMAN;CLCA_HUMAN;SKI_HUMAN;HIPK2_HUMAN;GSTM1_HUMAN;PERM_HUMAN;SMCA2_HUMAN;CEBPA_HUMAN;CO1A2_HUMAN;MD1L1_HUMAN;PP2BA_HUMAN;H2AZ_HUMAN;CCNA1_HUMAN;IQGA1_HUMAN;PAX5_HUMAN;MAF_HUMAN;TAB2_HUMAN;LYSC_HUMAN;PGH2_HUMAN;NLK_HUMAN;PRTN3_HUMAN;SIN3A_HUMAN;AMPN_HUMAN;PIAS3_HUMAN;RASN_HUMAN;PIM1_HUMAN;KIT_HUMAN;CD34_HUMAN;CSF1R_HUMAN;CEBPB_HUMAN;EP300_HUMAN;HES1_HUMAN;ETS2_HUMAN;SCF_HUMAN;TIF1B_HUMAN;METK2_HUMAN;FOG1_HUMAN;M3K7_HUMAN;WNT1_HUMAN;;MYC_HUMAN;HSP7C_HUMAN;MCM4_HUMAN;;CCND1_HUMAN;MYF6_HUMAN;CDN1A_HUMAN;PPID_HUMAN;CBX4_HUMAN;
Glucocorticoid receptor regulatory network,84,1433F_HUMAN;FKBP5_HUMAN;BAX_HUMAN;MMP1_HUMAN;NR4A1_HUMAN;VIPR1_HUMAN;MK08_HUMAN;IL6_HUMAN;HDAC1_HUMAN;IFNG_HUMAN;PO2F1_HUMAN;STAT1_HUMAN;OSTCN_HUMAN;GATA3_HUMAN;AKT1_HUMAN;KAPCB_HUMAN;SGK1_HUMAN;CD5R1_HUMAN;HDAC2_HUMAN;STA5B_HUMAN;EGR1_HUMAN;NCOA2_HUMAN;SMRD1_HUMAN;IL4_HUMAN;GSK3B_HUMAN;SUMO2_HUMAN;TF65_HUMAN;PPP5_HUMAN;P53_HUMAN;COLI_HUMAN;K2C5_HUMAN;STA5A_HUMAN;SMRC2_HUMAN;SMCA4_HUMAN;1433S_HUMAN;MDM2_HUMAN;TBP_HUMAN;ICAM1_HUMAN;CASB_HUMAN;MK03_HUMAN;NR1I3_HUMAN;CSF2_HUMAN;NFAC1_HUMAN;TBX21_HUMAN;CBP_HUMAN;EP300_HUMAN;IRF1_HUMAN;FKBP4_HUMAN;FOS_HUMAN;MK09_HUMAN;K1C14_HUMAN;MK10_HUMAN;NFKB1_HUMAN;GCR_HUMAN;SV421_HUMAN;PRL_HUMAN;GLHA_HUMAN;PBX1_HUMAN;KAPCG_HUMAN;HS90A_HUMAN;MK01_HUMAN;MK14_HUMAN;TS101_HUMAN;FIBG_HUMAN;SPI1_HUMAN;MK11_HUMAN;LYAM2_HUMAN;;NCOA1_HUMAN;SMRC1_HUMAN;JUN_HUMAN;KAPCA_HUMAN;PIT1_HUMAN;IL5_HUMAN;;K1C17_HUMAN;FETA_HUMAN;CREB1_HUMAN;CDN1A_HUMAN;IL13_HUMAN;IL8_HUMAN;IL2_HUMAN;PCKGM_HUMAN;CDK5_HUMAN;
p73 transcription factor network,82,QORX_HUMAN;ADA_HUMAN;TNR6_HUMAN;PML_HUMAN;GRAM4_HUMAN;NSG1_HUMAN;PFD5_HUMAN;WT1_HUMAN;EP300_HUMAN;LPP1_HUMAN;GATA1_HUMAN;YAP1_HUMAN;;GDF15_HUMAN;FBSP1_HUMAN;ZN363_HUMAN;BAX_HUMAN;IL4RA_HUMAN;MDM2_HUMAN;FLOT2_HUMAN;PLK3_HUMAN;CCNB1_HUMAN;S10A2_HUMAN;FETA_HUMAN;RNF43_HUMAN;MK11_HUMAN;;KAT5_HUMAN;CDK6_HUMAN;PAI1_HUMAN;WWOX_HUMAN;BRCA2_HUMAN;CCNA2_HUMAN;GBLP_HUMAN;SIR1_HUMAN;PIN1_HUMAN;BUB3_HUMAN;MYC_HUMAN;AEN_HUMAN;CDK1_HUMAN;MK14_HUMAN;DEDD_HUMAN;BBC3_HUMAN;CLCA2_HUMAN;JAG2_HUMAN;ABL1_HUMAN;KAPCB_HUMAN;CDK2_HUMAN;DCP1B_HUMAN;B2L11_HUMAN;PLK1_HUMAN;1433S_HUMAN;HEY2_HUMAN;JAK1_HUMAN;TF65_HUMAN;NDUS2_HUMAN;ITCH_HUMAN;NED4L_HUMAN;PEA15_HUMAN;SP1_HUMAN;GLO2_HUMAN;TPIP1_HUMAN;RB_HUMAN;;RAD51_HUMAN;;FAS_HUMAN;CHK1_HUMAN;BAK_HUMAN;;HSF1_HUMAN;;;;UBE4B_HUMAN;A1AT_HUMAN;CCNE2_HUMAN;BUB1_HUMAN;FOXO3_HUMAN;TBA1A_HUMAN;CDN1A_HUMAN;;
Regulation of nuclear beta catenin signaling and target gene transcription,82,DKK1_HUMAN;ANDR_HUMAN;TLE1_HUMAN;1433B_HUMAN;MYOG_HUMAN;1433Z_HUMAN;SALL4_HUMAN;BRAC_HUMAN;TERT_HUMAN;ZCH12_HUMAN;IF2B1_HUMAN;FGF4_HUMAN;CYR61_HUMAN;DVL3_HUMAN;KLF4_HUMAN;XPO1_HUMAN;CADH1_HUMAN;CTBP1_HUMAN;NGN1_HUMAN;ADCY7_HUMAN;MMP9_HUMAN;MYC_HUMAN;COX2_HUMAN;CDX1_HUMAN;APC_HUMAN;EP300_HUMAN;AES_HUMAN;TF7L1_HUMAN;1433T_HUMAN;TF7L2_HUMAN;CUL1_HUMAN;TBL1R_HUMAN;1433F_HUMAN;AXIN2_HUMAN;CAC1G_HUMAN;;ITF2_HUMAN;SMCA4_HUMAN;INCE_HUMAN;RUVB2_HUMAN;MED12_HUMAN;TBL1X_HUMAN;MITF_HUMAN;CHD8_HUMAN;DKK4_HUMAN;ID2_HUMAN;CTNB1_HUMAN;BCL9_HUMAN;CDX4_HUMAN;1433S_HUMAN;TNIK_HUMAN;TCF7_HUMAN;CCND2_HUMAN;CNBP1_HUMAN;1433E_HUMAN;TLE2_HUMAN;SSPO_HUMAN;LEF1_HUMAN;KCC4_HUMAN;SP5_HUMAN;CBY1_HUMAN;TLE4_HUMAN;1433G_HUMAN;PITX2_HUMAN;HDAC2_HUMAN;;MMP2_HUMAN;;CSPG2_HUMAN;SNAI2_HUMAN;MDFIC_HUMAN;HDAC1_HUMAN;KCIP4_HUMAN;CCND1_HUMAN;SKP1_HUMAN;MYF5_HUMAN;IL8_HUMAN;HBP1_HUMAN;JUN_HUMAN;TRRAP_HUMAN;NCOA2_HUMAN;K2C1_HUMAN;
Regulation of nuclear SMAD2/3 signaling,82,SMAD4_HUMAN;IL5_HUMAN;CREB1_HUMAN;CBP_HUMAN;SIN3B_HUMAN;NCOA2_HUMAN;SP1_HUMAN;RBBP4_HUMAN;E2F4_HUMAN;TFE2_HUMAN;DCP1A_HUMAN;SKI_HUMAN;RBL1_HUMAN;MED15_HUMAN;FOXO4_HUMAN;GATA3_HUMAN;SP3_HUMAN;HNF4A_HUMAN;FOXO3_HUMAN;IRF7_HUMAN;CITE1_HUMAN;FOXH1_HUMAN;MEF2C_HUMAN;TGIF1_HUMAN;SMAD7_HUMAN;PEBB_HUMAN;GCR_HUMAN;ANDR_HUMAN;E2F5_HUMAN;CTBP1_HUMAN;RUNX1_HUMAN;EP300_HUMAN;RUNX3_HUMAN;SAP30_HUMAN;FOXO1_HUMAN;ATF3_HUMAN;GSC_HUMAN;ATF2_HUMAN;SMAD3_HUMAN;PAI1_HUMAN;ESR1_HUMAN;KAT2A_HUMAN;CDK2_HUMAN;KAT2B_HUMAN;RUNX2_HUMAN;MYC_HUMAN;CDK4_HUMAN;CDN2B_HUMAN;MAX_HUMAN;PIAS4_HUMAN;SMAD2_HUMAN;SNIP1_HUMAN;SIN3A_HUMAN;TFDP1_HUMAN;NCOR1_HUMAN;NKX25_HUMAN;FOS_HUMAN;TFE3_HUMAN;TGIF2_HUMAN;SKIL_HUMAN;IGHA1_HUMAN;LAMC1_HUMAN;CO1A2_HUMAN;DLX1_HUMAN;HDAC1_HUMAN;FOXG1_HUMAN;AKT1_HUMAN;VDR_HUMAN;HDAC2_HUMAN;HSP7C_HUMAN;ZBT17_HUMAN;ITB5_HUMAN;IFNB_HUMAN;MYOD1_HUMAN;SAP18_HUMAN;IL10_HUMAN;RBBP7_HUMAN;PIAS3_HUMAN;JUN_HUMAN;CDN1A_HUMAN;NCOA1_HUMAN;CEBPB_HUMAN;
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met),80,CADH1_HUMAN;NCK1_HUMAN;RASH_HUMAN;MK01_HUMAN;RANB9_HUMAN;MP2K1_HUMAN;CBL_HUMAN;PAK4_HUMAN;PLCG1_HUMAN;PTN1_HUMAN;MUC20_HUMAN;RBP10_HUMAN;PAK2_HUMAN;GRB2_HUMAN;M3K1_HUMAN;PDPK1_HUMAN;DPTOR_HUMAN;MP2K4_HUMAN;EGR1_HUMAN;P85A_HUMAN;ARHG4_HUMAN;KPCI_HUMAN;EPS15_HUMAN;PAK1_HUMAN;PTN11_HUMAN;RAB5A_HUMAN;CRK_HUMAN;CDC42_HUMAN;RHOA_HUMAN;BAD_HUMAN;LST8_HUMAN;JUN_HUMAN;NUMB_HUMAN;MTOR_HUMAN;HGF_HUMAN;;AKT2_HUMAN;AKT1_HUMAN;;IMB1_HUMAN;SRC_HUMAN;IF4E_HUMAN;NCK2_HUMAN;SHIP2_HUMAN;MK03_HUMAN;ARF6_HUMAN;SH3G2_HUMAN;RPGF1_HUMAN;CTNB1_HUMAN;MK08_HUMAN;CRKL_HUMAN;SHIP1_HUMAN;MP2K2_HUMAN;RAP1A_HUMAN;GAB2_HUMAN;PK3CA_HUMAN;RAC1_HUMAN;RAP1B_HUMAN;WASL_HUMAN;APC_HUMAN;;PTPRJ_HUMAN;SOS1_HUMAN;KPCZ_HUMAN;MET_HUMAN;RPTOR_HUMAN;SNAI1_HUMAN;BCAR1_HUMAN;AKTS1_HUMAN;HGS_HUMAN;RIN2_HUMAN;CTNA1_HUMAN;PAR3_HUMAN;4EBP1_HUMAN;RAF1_HUMAN;GAB1_HUMAN;ETS1_HUMAN;PAXI_HUMAN;SH3K1_HUMAN;PAR6A_HUMAN;
