Reactome,m,proteins
2-LTR circle formation,7,XRCC4_HUMAN;DNLI4_HUMAN;HMGA1_HUMAN;XRCC5_HUMAN;XRCC6_HUMAN;BAF_HUMAN;PSIP1_HUMAN;
5-Phosphoribose 1-diphosphate biosynthesis,2,PRPS1_HUMAN;PRPS3_HUMAN;
A tetrasaccharide linker sequence is required for GAG synthesis,25,GPC6_HUMAN;B4GT7_HUMAN;B3GA1_HUMAN;B3GA2_HUMAN;XYLT2_HUMAN;B3GT6_HUMAN;PGCB_HUMAN;GPC2_HUMAN;XYLT1_HUMAN;CSPG4_HUMAN;PGBM_HUMAN;GPC5_HUMAN;GPC3_HUMAN;GPC1_HUMAN;SDC2_HUMAN;SDC4_HUMAN;PGS1_HUMAN;SDC1_HUMAN;CSPG2_HUMAN;PGS2_HUMAN;CSPG5_HUMAN;B3GA3_HUMAN;GPC4_HUMAN;SDC3_HUMAN;NCAN_HUMAN;
Abacavir metabolism,4,ADAL_HUMAN;KGUA_HUMAN;5NTC_HUMAN;PCKGC_HUMAN;
Abacavir transmembrane transport,4,ABCG2_HUMAN;MDR1_HUMAN;S22A3_HUMAN;S22A1_HUMAN;
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,1,APEX1_HUMAN;
ABC transporters in lipid homeostasis,17,ABCD2_HUMAN;ABCG5_HUMAN;ABCG8_HUMAN;ABCG4_HUMAN;ABCA2_HUMAN;ABCA3_HUMAN;ABCA5_HUMAN;ABCAA_HUMAN;ABCA6_HUMAN;ABCA7_HUMAN;ABCA9_HUMAN;ABCAC_HUMAN;PEX3_HUMAN;ABCG1_HUMAN;PEX19_HUMAN;ABCD1_HUMAN;ABCD3_HUMAN;
ABC-family proteins mediated transport,80,PSD13_HUMAN;PSME2_HUMAN;SE1L1_HUMAN;ABCB9_HUMAN;DERL2_HUMAN;DERL1_HUMAN;RNF5_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;DERL3_HUMAN;ABCCB_HUMAN;RN185_HUMAN;ERLEC_HUMAN;MRP2_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;ABCF1_HUMAN;MRP7_HUMAN;ABCB5_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;KCJ11_HUMAN;OS9_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;ABCA4_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;TERA_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;IF2G_HUMAN;PSB10_HUMAN;PRS7_HUMAN;MRP1_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;MDR3_HUMAN;PSB1_HUMAN;IF2B_HUMAN;PRS6A_HUMAN;CFTR_HUMAN;UBC_HUMAN;UBB_HUMAN;MDR1_HUMAN;IF2A_HUMAN;MRP6_HUMAN;ABCA8_HUMAN;ERLN2_HUMAN;PSD10_HUMAN;ERLN1_HUMAN;ABCC9_HUMAN;PSMD3_HUMAN;MRP5_HUMAN;MRP4_HUMAN;MRP3_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;
Abortive elongation of HIV-1 transcript in the absence of Tat,23,CTDP1_HUMAN;NELFA_HUMAN;NELFB_HUMAN;NELFD_HUMAN;NCBP1_HUMAN;SPT4H_HUMAN;RPAB5_HUMAN;RPB7_HUMAN;RPAB2_HUMAN;RPAB4_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;NCBP2_HUMAN;RPB9_HUMAN;T2FA_HUMAN;RPB2_HUMAN;RPB1_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;NELFE_HUMAN;T2FB_HUMAN;RPB4_HUMAN;SPT5H_HUMAN;
Acetylation,1,ARY1_HUMAN;
Acetylcholine Neurotransmitter Release Cycle,15,SC5A7_HUMAN;RIMS1_HUMAN;STX1A_HUMAN;VACHT_HUMAN;LIPA1_HUMAN;VAMP2_HUMAN;SNP25_HUMAN;CLAT_HUMAN;SYT1_HUMAN;RAB3A_HUMAN;RIMB1_HUMAN;LIPA4_HUMAN;LIPA2_HUMAN;LIPA3_HUMAN;CPLX1_HUMAN;
Acetylcholine regulates insulin secretion,16,PLCB1_HUMAN;PLCB1_HUMAN;PLCB3_HUMAN;PLCB3_HUMAN;PLCB2_HUMAN;PLCB2_HUMAN;GNAQ_HUMAN;GNAQ_HUMAN;GNA15_HUMAN;GNA15_HUMAN;GNA11_HUMAN;GNA11_HUMAN;MARCS_HUMAN;ACM3_HUMAN;KPCA_HUMAN;GNA14_HUMAN;
Activated NOTCH1 Transmits Signal to the Nucleus,41,DTX4_HUMAN;DTX4_HUMAN;JAG2_HUMAN;JAG2_HUMAN;PEN2_HUMAN;DLL4_HUMAN;ITCH_HUMAN;ITCH_HUMAN;APH1A_HUMAN;MIB2_HUMAN;NICA_HUMAN;APH1B_HUMAN;DNER_HUMAN;MIB1_HUMAN;DTX1_HUMAN;DTX1_HUMAN;DTX2_HUMAN;DTX2_HUMAN;CNTN1_HUMAN;DLK1_HUMAN;ADA17_HUMAN;JAG1_HUMAN;RL40_HUMAN;RL40_HUMAN;RS27A_HUMAN;RS27A_HUMAN;PSN2_HUMAN;PSN1_HUMAN;NUMB_HUMAN;ARRB1_HUMAN;NOTC1_HUMAN;NOTC1_HUMAN;ARRB2_HUMAN;UBC_HUMAN;UBC_HUMAN;UBB_HUMAN;UBB_HUMAN;NEUL1_HUMAN;ADA10_HUMAN;DLL1_HUMAN;NEU1B_HUMAN;
Activated NTRK2 signals through CDK5,5,NTRK2_HUMAN;CD5R1_HUMAN;TIAM1_HUMAN;CDK5_HUMAN;RAC1_HUMAN;
Activated NTRK2 signals through FRS2 and FRS3,14,FRS2_HUMAN;FRS2_HUMAN;NTRK2_HUMAN;NTRK2_HUMAN;SOS1_HUMAN;SOS1_HUMAN;PTN11_HUMAN;NTF4_HUMAN;NTF4_HUMAN;BDNF_HUMAN;BDNF_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;
Activated NTRK2 signals through FYN,3,NTRK2_HUMAN;NMDE2_HUMAN;BDNF_HUMAN;
Activated NTRK2 signals through PI3K,5,NTRK2_HUMAN;GAB1_HUMAN;PK3CA_HUMAN;NTF4_HUMAN;P85A_HUMAN;
Activated NTRK2 signals through PLCG1,7,NTRK2_HUMAN;NTRK2_HUMAN;NTF4_HUMAN;NTF4_HUMAN;BDNF_HUMAN;BDNF_HUMAN;PLCG1_HUMAN;
Activated NTRK2 signals through RAS,8,NTRK2_HUMAN;SOS1_HUMAN;NTF4_HUMAN;SHC1_HUMAN;SHC1_HUMAN;BDNF_HUMAN;RASK_HUMAN;RASH_HUMAN;
Activated NTRK3 signals through PI3K,8,NTRK3_HUMAN;NTRK3_HUMAN;PK3CA_HUMAN;IRS1_HUMAN;P85A_HUMAN;NTF3_HUMAN;NTF3_HUMAN;SRC_HUMAN;
Activated NTRK3 signals through PLCG1,5,NTRK3_HUMAN;NTRK3_HUMAN;NTF3_HUMAN;NTF3_HUMAN;PLCG1_HUMAN;
Activated NTRK3 signals through RAS,7,NTRK3_HUMAN;SOS1_HUMAN;SHC1_HUMAN;SHC1_HUMAN;NTF3_HUMAN;RASK_HUMAN;RASH_HUMAN;
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,35,KDM4C_HUMAN;H2AJ_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;PKN1_HUMAN;NCOA2_HUMAN;H33_HUMAN;H31_HUMAN;H2B1C_HUMAN;H4_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;H2B1B_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;KLK2_HUMAN;H2AX_HUMAN;ANDR_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;KLK3_HUMAN;H2B1J_HUMAN;H2A1B_HUMAN;H2B1K_HUMAN;
Activated point mutants of FGFR2,14,FGF20_HUMAN;FGF22_HUMAN;FGF23_HUMAN;FGF9_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGF7_HUMAN;FGF3_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;FGF18_HUMAN;FGF16_HUMAN;
activated TAK1 mediates p38 MAPK activation,22,NEMO_HUMAN;TRAF6_HUMAN;NOD1_HUMAN;TAB2_HUMAN;NOD2_HUMAN;TAB3_HUMAN;MAPK3_HUMAN;MK14_HUMAN;MK11_HUMAN;TAB1_HUMAN;UB2V1_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBE2N_HUMAN;MP2K6_HUMAN;IRAK1_HUMAN;MAPK2_HUMAN;MP2K3_HUMAN;UBC_HUMAN;UBB_HUMAN;RIPK2_HUMAN;M3K7_HUMAN;
Activation and oligomerization of BAK protein,1,BAK_HUMAN;
Activation of AKT2,3,TRIB3_HUMAN;THEM4_HUMAN;AKT2_HUMAN;
Activation of AMPA receptors,3,GRIA4_HUMAN;GRIA3_HUMAN;GRIA2_HUMAN;
Activation of anterior HOX genes in hindbrain development during early embryogenesis,90,NCOA3_HUMAN;MAFB_HUMAN;CNOT6_HUMAN;ASH2L_HUMAN;ZN335_HUMAN;HXD1_HUMAN;H2AJ_HUMAN;PAGR1_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;AJUBA_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;CBP_HUMAN;RCD1_HUMAN;KMT2C_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H32_HUMAN;PAXI1_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;RBBP7_HUMAN;EZH2_HUMAN;RBBP5_HUMAN;SUZ12_HUMAN;NCOA6_HUMAN;EP300_HUMAN;RBBP4_HUMAN;HXA4_HUMAN;H33_HUMAN;H31_HUMAN;RPAB5_HUMAN;H2B1C_HUMAN;H4_HUMAN;RPB7_HUMAN;WDR5_HUMAN;RPAB2_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;PKNX1_HUMAN;RPAB4_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;CTCF_HUMAN;HXA1_HUMAN;PBX1_HUMAN;RPB9_HUMAN;PCGF2_HUMAN;H2B1B_HUMAN;HXD3_HUMAN;RPB2_HUMAN;PAX6_HUMAN;TYY1_HUMAN;RPB1_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;RXRA_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;HXB4_HUMAN;H2AX_HUMAN;HXB1_HUMAN;HXB2_HUMAN;HXB3_HUMAN;RARG_HUMAN;EGR2_HUMAN;RARB_HUMAN;RARA_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;HXC4_HUMAN;HXD4_HUMAN;H2B1J_HUMAN;JUN_HUMAN;H2A1B_HUMAN;PIAS2_HUMAN;EED_HUMAN;NCOR1_HUMAN;H2B1K_HUMAN;HXA3_HUMAN;HXA2_HUMAN;KDM6A_HUMAN;RPB4_HUMAN;HDAC3_HUMAN;KMT2D_HUMAN;
Activation of ATR in response to replication stress,36,ORC6_HUMAN;MCM8_HUMAN;DBF4A_HUMAN;ORC3_HUMAN;CLSPN_HUMAN;CDC6_HUMAN;RAD9A_HUMAN;ATRIP_HUMAN;MCM10_HUMAN;RAD9B_HUMAN;MCM6_HUMAN;ATR_HUMAN;ORC2_HUMAN;ORC1_HUMAN;MCM2_HUMAN;RFC3_HUMAN;RFC5_HUMAN;RFC2_HUMAN;RFC4_HUMAN;RFA3_HUMAN;MCM7_HUMAN;MCM5_HUMAN;MCM4_HUMAN;MPIP3_HUMAN;MPIP1_HUMAN;RFA1_HUMAN;MCM3_HUMAN;CDK2_HUMAN;RFA2_HUMAN;RAD17_HUMAN;CDC45_HUMAN;HUS1_HUMAN;RAD1_HUMAN;ORC4_HUMAN;ORC5_HUMAN;CHK1_HUMAN;
